Product Title,Price,Condition,Seller Rating (%),Seller Feedback Count,Item Country,Product URL
Apple iPhone 6s A1633 With Sim Card Tray,6.5,For parts or not working,97.7,1724,US,https://www.ebay.com/itm/277261159957?_skw=smartphone+with+barometer&hash=item408e0d8e15:g:s68AAeSwWGloYuDD
MINT - Original OEM Replacement Sonim XP8 Battery 3.5V 4900mAh (BAT-04900-01S),13.99,Used,100.0,7954,US,https://www.ebay.com/itm/167551164145?_skw=smartphone+with+barometer&hash=item2702d3def1:g:v-UAAOSwRlRoOhMX
Kyocera DuraForce Pro E6830 Sprint Only 32GB Black C,14.84,Used,98.0,152834,US,https://www.ebay.com/itm/196539926296?_skw=smartphone+with+barometer&hash=item2dc2b14718:g:Jo4AAOSwb7Zmrl8S
Cell Phone Coolpad Untested,15.44,For parts or not working,99.1,595,US,https://www.ebay.com/itm/267285288149?_skw=smartphone+with+barometer&hash=item3e3b71d4d5:g:HbsAAeSwRWdoR8Nh
Samsung SGH-A157 Flip Phone with Good Battery AT&T,19.0,Used,100.0,68,US,https://www.ebay.com/itm/167625679291?_skw=smartphone+with+barometer&hash=item270744e1bb:g:wWkAAeSw07NoZBqT
LG Optimus Enlighten VS 700 Black Verizon Android Smartphone with Keyboard,19.95,Used,100.0,100,US,https://www.ebay.com/itm/296905577780?_skw=smartphone+with+barometer&hash=item4520f39534:g:sVQAAOSwYz1nbaaX
"Alcatel TRU 5065N Android Smartphone MetroPCS 5"" Display 5MP 8GB Camera 4G LTE",19.95,Used,96.7,43091,US,https://www.ebay.com/itm/297028385370?_skw=smartphone+with+barometer&hash=item4528457a5a:g:aXMAAOSwwlZnq5cW
"KYOCERA DuraForce Pro E6830 5"" Sprint 32GB Rugged Android Smartphone | C14*",19.99,Used,99.6,52197,US,https://www.ebay.com/itm/336022470896?_skw=smartphone+with+barometer&hash=item4e3c8000f0:g:dJYAAOSwfcVn2aRM
Kyocera DuraForce Pro E6833 Sprint Only 32GB Black C,20.0,Used,100.0,743,US,https://www.ebay.com/itm/286678861342?_skw=smartphone+with+barometer&hash=item42bf64461e:g:dnEAAeSwPD9oYC~P
Samsung Galaxy S4,20.0,Used,100.0,365,US,https://www.ebay.com/itm/187357728234?_skw=smartphone+with+barometer&hash=item2b9f640dea:g:YnQAAeSwdk1oWFDk
Kyocera DuraForce Pro E6830 Sprint Only 32GB Black TESTED***,20.95,Used,93.3,1828,US,https://www.ebay.com/itm/276791312975?_skw=smartphone+with+barometer&hash=item40720c424f:g:oK0AAOSwYytna09B
Kyocera E6810 DuraForce Pro Verizon/Unlocked Smartphone ,23.9,Used,96.5,3973,US,https://www.ebay.com/itm/176937653852?_skw=smartphone+with+barometer&hash=item29324e565c:g:KDEAAOSwnVtn7YrS
MOTOROLA MOTO Z2 FORCE XT1789-01 VERIZON 64GB GOLD 386,25.0,For parts or not working,94.2,1550,US,https://www.ebay.com/itm/365669173990?_skw=smartphone+with+barometer&hash=item552394cae6:g:S7AAAOSwGVlngq~V
Samsung Galaxy S4 - 32 GB - Black Mist (AT&T) - Very Good Condition ,27.5,Used,96.9,118,US,https://www.ebay.com/itm/326668338125?_skw=smartphone+with+barometer&hash=item4c0ef343cd:g:1SMAAeSwdlJoZYks
Kyocera DuraForce Pro 2 - E6910 - 64GB (Verizon) 4G LTE Waterproof Rugged Phone,29.71,Used,99.9,5057,US,https://www.ebay.com/itm/177110492725?_skw=smartphone+with+barometer&hash=item293c9ba635:g:0HAAAOSwoNFoEmR4
Samsung Galaxy S7 - 32 GB - Black Onyx (Sprint) (C5),33.0,Used,99.1,3015,US,https://www.ebay.com/itm/197277626784?_skw=smartphone+with+barometer&hash=item2deea9b1a0:g:~0oAAeSwQ3toFQz~
Coolpad Legacy Cp3705as 32 Gig Boost Mobile,35.0,Used,99.4,1226,US,https://www.ebay.com/itm/116672915202?_skw=smartphone+with+barometer&hash=item1b2a3f6702:g:vb8AAeSwrE9oYdIn
Sonim XP3 Plus XP3900 T-Mobile Only 16GB Black A,38.79,Used,98.0,152834,US,https://www.ebay.com/itm/176493201403?_skw=smartphone+with+barometer&hash=item2917d087fb:g:Z5AAAOSwEgVmpWMv
LG V20 - 64GB - Black- T-Mobile,40.0,Used,99.8,5161,US,https://www.ebay.com/itm/267295422523?_skw=smartphone+with+barometer&hash=item3e3c0c783b:g:Ca4AAOSwAuVoUx5D
"LG V30, Locked to T-Mobile | 64 GB, Silver, 6.0 in Screen | Grade B- | H931",44.11,Used,96.6,2262,US,https://www.ebay.com/itm/365541519203?_skw=smartphone+with+barometer&hash=item551bf8ef63:g:gDwAAOSwgQRn~-wf
Sonim XP3 Plus XP3900 T-Mobile Only 16GB Black,44.95,Used,100.0,898,US,https://www.ebay.com/itm/157163366451?_skw=smartphone+with+barometer&hash=item2497aaa833:g:qwEAAeSwE9hocYDu
Kyocera DuraForce Pro 2 E6910 Verizon 64GB,47.99,Used,97.2,6408,US,https://www.ebay.com/itm/126976503471?_skw=smartphone+with+barometer&hash=item1d9063aeaf:g:BfYAAeSwM8pnyF6E
Motorola Moto G Play (2023) XT2271 32GB 3GB Unlocked Blue Good - Has Scratches,48.51,Used,99.0,466,US,https://www.ebay.com/itm/277220118788?_skw=smartphone+with+barometer&hash=item408b9b5104:g:2qYAAOSwgCJoCT7K
Samsung Galaxy S7 - 32GB - ALL COLORS Unlocked AT&T Verizon Works Great!,49.99,Used,97.2,6408,US,https://www.ebay.com/itm/125919943774?_skw=smartphone+with+barometer&hash=item1d5169dc5e:g:O9IAAOSwjYVkb5I9
Motorola Moto G Stylus 5G (2023) XT2315-5 Cricket Only 128GB Cosmic Black Good,50.0,Used,100.0,9,US,https://www.ebay.com/itm/388693952677?_skw=smartphone+with+barometer&hash=item5a7ff708a5:g:VR4AAeSwfAtocHe1
KYOCERA DURAFORCE XD E6790 16GB BRAND NEW AT&T UNLOCKED + FREE 32GB MICROSD CARD,52.99,New,98.7,6555,US,https://www.ebay.com/itm/197242075790?_skw=smartphone+with+barometer&hash=item2dec8b3a8e:g:Mp4AAOSwc1BoAmCo
Motorola Moto G Power (2022) XT2165-5 Unlocked 64GB Black C,54.99,Used,98.0,152834,US,https://www.ebay.com/itm/186610291252?_skw=smartphone+with+barometer&hash=item2b72d71234:g:ldsAAOSw~5ZmrkKt
Samsung Galaxy S10 128GB Verizon SM-G973U Prism Black DEFECTIVE B1124,59.95,For parts or not working,99.0,116816,US,https://www.ebay.com/itm/406037809846?_skw=smartphone+with+barometer&hash=item5e89bd4ab6:g:ZrgAAeSwDj5ocMsP
